382560,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382559,2015-11-08 06:26:46 +0200,2,4,2,0,0,0,0,0,0,0,0,0,0
382558,2015-11-08 06:00:34 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382557,2015-11-08 05:59:53 +0200,2,10,0,0,0,0,0,0,0,0,0,0,0
382556,2015-11-08 05:34:57 +0200,1,2,0,0,0,0,0,0,0,0,0,0,0
382555,2015-11-08 05:22:07 +0200,1,2,0,0,0,0,0,0,0,0,0,0,0
382554,2015-11-08 05:15:53 +0200,1,4,0,3,0,0,1,0,0,0,0,0,0
382553,2015-11-08 05:03:28 +0200,1,4,0,0,0,0,0,0,0,0,0,0,0
382552,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382551,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382550,2015-11-08 04:52:24 +0200,2,5,0,0,0,0,0,0,0,0,0,0,0
382549,2015-11-08 04:37:48 +0200,0,2,0,0,0,0,0,0,0,0,0,0,0
382548,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382547,2015-11-08 04:31:17 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382546,2015-11-08 04:23:04 +0200,2,2,0,0,0,0,0,0,0,0,0,0,0
382545,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
382544,2015-11-08 04:02:28 +0200,1,3,0,0,0,0,0,0,0,0,0,0,0
382543,2015-11-08 03:53:26 +0200,1,1,0,0,0,0,0,0,0,0,0,0,0
382542,2015-11-08 03:55:28 +0200,0,0,0,6,0,0,0,0,0,0,0,0,0
382541,2015-11-08 03:47:51 +0200,0,1,0,16,0,0,1,0,29,2,0,0,0
382540,2015-11-08 03:44:05 +0200,0,2,0,0,0,0,0,0,0,0,0,0,0
382539,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0,0,0
